IP地址,端口,TLS,数据中心,国家,城市,网络延迟(毫秒),下载速度(MB/s)
74.119.193.226,2053,AS,HK,HK,Hong Kong,35,1.9
192.131.142.161,46639,AS,HK,HK,Hong Kong,43,1.1
43.154.196.20,65121,AS,HK,HK,Hong Kong,69,1.05
23.226.8.80,444,AS,HK,HK,N/A,33,1.05
45.39.198.40,8080,AS,HK,HK,Hong Kong,37,1.03
156.254.114.171,443,AS,HK,HK,Ha Kwai Chung,36,1.03
38.180.94.174,20627,AS,HK,HK,Hong Kong,88,1.03
103.251.89.149,29876,AS,HK,HK,N/A,1180,1.02
154.16.10.34,8080,AS,HK,HK,Hong Kong,39,1.02
218.188.151.102,12062,AS,HK,HK,N/A,71,1.02
141.11.149.195,12082,AS,HK,HK,Hong Kong,72,1.02
47.240.15.210,4432,AS,HK,HK,Hong Kong,103,1.01
141.11.91.67,8080,AS,HK,HK,Hong Kong,106,1.01
8.218.245.116,49701,AS,HK,HK,Hong Kong,121,1.01
195.54.171.205,443,AS,HK,HK,Hong Kong,223,1.01
223.16.138.113,12457,AS,HK,HK,N/A,93,1.01
156.255.90.175,8443,AS,HK,HK,Ha Kwai Chung,73,1.01
8.218.245.116,42805,AS,HK,HK,Hong Kong,154,1.01
194.156.99.186,443,AS,HK,HK,Hong Kong,82,1.01
212.60.5.118,8443,AS,HK,HK,N/A,72,1.01
141.11.77.248,8080,AS,HK,HK,Hong Kong,125,1.01
43.252.41.204,2443,AS,HK,HK,N/A,75,1.01
218.188.151.102,26002,AS,HK,HK,N/A,72,1.01
23.226.8.80,443,AS,HK,HK,N/A,42,1.01
85.208.104.34,8080,AS,HK,HK,Hong Kong,73,1
47.76.218.163,443,AS,HK,HK,Hong Kong,68,1
2.56.91.89,2053,AS,HK,HK,Hong Kong,113,0.99
113.254.239.245,11885,AS,HK,HK,N/A,73,0.99
185.201.28.241,8443,AS,HK,HK,N/A,102,0.99
8.210.213.159,587,AS,HK,HK,Hong Kong,48,0.99
103.115.44.87,49322,AS,HK,HK,Hong Kong,68,0.97
221.124.30.40,16086,AS,HK,HK,Yuen Long San Hui,50,0.97
195.54.171.57,8443,AS,HK,HK,Hong Kong,133,0.97
46.232.122.240,8000,AS,HK,HK,N/A,121,0.96
193.233.193.12,8443,AS,HK,HK,Hong Kong,62,0.96
124.244.92.109,25203,AS,HK,HK,Kowloon City,105,0.96
192.142.4.76,2053,AS,HK,HK,Ha Kwai Chung,146,0.95
74.119.193.226,8443,AS,HK,HK,Hong Kong,138,0.94
47.242.169.69,52721,AS,HK,HK,Hong Kong,58,0.94
36.50.90.241,35951,AS,HK,HK,N/A,153,0.94
118.141.64.192,36619,AS,HK,HK,N/A,170,0.93
38.207.133.204,10002,AS,HK,HK,Hong Kong,139,0.92
8.210.96.197,12902,AS,HK,HK,Hong Kong,68,0.91
141.11.148.60,8080,AS,HK,HK,Hong Kong,73,0.91
221.125.10.8,57537,AS,HK,HK,Yuen Long San Hui,69,0.9
18.162.156.23,12355,AS,HK,HK,N/A,198,0.89
5.42.220.253,8443,AS,HK,HK,N/A,135,0.89
43.132.244.52,21415,AS,HK,HK,Hong Kong,178,0.86
223.16.138.113,10201,AS,HK,HK,N/A,227,0.86
156.254.114.120,30011,AS,HK,HK,Ha Kwai Chung,35,0.86
38.6.219.16,8080,AS,HK,HK,Hong Kong,178,0.85
141.11.78.77,8080,AS,HK,HK,Hong Kong,179,0.84
45.82.252.110,2053,AS,HK,HK,Hong Kong,201,0.83
103.115.44.87,49323,AS,HK,HK,Hong Kong,176,0.83
218.188.151.102,10315,AS,HK,HK,N/A,68,0.82
36.50.90.241,47790,AS,HK,HK,N/A,224,0.82
221.124.30.40,28015,AS,HK,HK,Yuen Long San Hui,283,0.79
2.56.91.89,8443,AS,HK,HK,Hong Kong,31,0.78
47.79.20.64,443,AS,HK,HK,Hong Kong,277,0.78
210.6.207.42,18622,AS,HK,HK,Tai Po,230,0.77
62.192.175.43,12009,AS,HK,HK,Hong Kong,34,0.76
156.255.90.175,2053,AS,HK,HK,Ha Kwai Chung,126,0.74
199.59.231.120,443,AS,HK,HK,Hong Kong,282,0.72
212.60.5.118,2053,AS,HK,HK,N/A,277,0.72
223.16.138.113,10002,AS,HK,HK,N/A,260,0.7
45.149.186.112,8080,AS,HK,HK,Hong Kong,321,0.69
38.180.94.174,35521,AS,HK,HK,Hong Kong,168,0.66
185.74.222.252,8443,AS,HK,HK,Hong Kong,66,0.65
141.98.234.14,2053,AS,HK,HK,Hong Kong,294,0.64
103.247.28.240,37211,AS,HK,HK,N/A,301,0.63
154.83.86.52,55555,AS,HK,HK,Hong Kong,306,0.57
